Period,Oil_production,Oil_supply,Oil_price,Unemployment_rate,Trade_balance,Manufacturing_PMI,HMI,CPI,Employment_change,Mortgage_rate_15_years,Mortgage_rate_30_years,House_sold,House_price_index,Auto_sales,Auto_production,Gold_price,Money_stock_M1,Money_stock_M2,IPI,Effective_federal_fund_rate,Housing_starts,Consumer_sentiment,Inflation_rate,DJI,NYA,IXIC,GSPC
1/1/92,228178,309436.2,18.79,7.3,"-2,026",50.8,44,138.1,52,8.006,8.432,676,102.28,560.5,419.7,354.45,910.4,3380.9,63.8916,4.03,1176,67.5,2.6,3267.699951,2413.030029,633.469971,412.700012
1/2/92,214269,316640.6,19.01,7.4,-831,50,49,138.6,-63,8.3825,8.7625,639,102.96,651.1,439.4,353.91,925.2,3399.6,64.3381,4.06,1250,68.8,2.8,3235.5,2360.590088,603.77002,403.690002
1/3/92,227798,323606.2,18.92,7.4,"-2,641",43.2,46,139.3,54,8.5775,8.935,553,103.07,720.4,497,344.34,936.7,3403.5,64.902,3.98,1297,76,3.2,3359.100098,2413.97998,578.679993,414.950012
1/4/92,218775,337042.7,20.23,7.4,"-3,109",48.7,46,139.5,159,8.47,8.8525,546,102.98,715.8,507.3,338.62,943.8,3399.3,65.3746,3.73,1099,77.2,3.2,3396.899902,2420.01001,585.309998,415.350006
1/5/92,222227,334208.8,20.98,7.6,"-3,919",47.3,47,139.7,126,8.294,8.672,554,103.16,733.7,544.2,337.24,950.6,3398.2,65.5902,3.82,1214,79.2,3,3318.5,2372,563.599976,408.140015
1/6/92,215019,338291.5,22.39,7.8,"-2,824",52.7,45,140.2,68,8.0775,8.51,596,103.51,824.8,559,340.81,954.3,3393,65.6132,3.76,1145,80.4,3.1,3393.800049,2465.27002,580.830017,424.209991
1/7/92,221064,340888.3,21.78,7.7,"-2,781",54.6,46,140.5,71,7.67,8.128,627,103.77,733.6,349.4,352.72,963.3,3393.3,66.1891,3.25,1139,76.6,3.2,3257.399902,2411.129883,563.119995,414.029999
1/8/92,214575,330858.3,21.34,7.6,"-4,455",53.6,49,140.9,138,7.49,7.975,636,104.35,644.8,431.5,343.06,973.7,3398.2,65.8651,3.3,1226,76.1,3.1,3271.699951,2426.25,583.27002,417.799988
1/9/92,210904,327672.8,21.88,7.6,"-3,530",53.5,48,141.3,36,7.405,7.9225,650,104.61,673.7,476.4,345.43,988,3409.6,66.0268,3.22,1186,75.6,3,3226.300049,2437.98999,605.169983,418.679993
1/10/92,220898,333957.2,21.69,7.3,"-3,520",51,50,141.8,182,7.546,8.088,621,104.78,694.5,533.1,344.38,1003.7,3423.1,66.511,3.1,1244,73.3,3.2,3305.199951,2510.72998,652.72998,431.350006
